,train_acc,train_auc,train_ll,test_acc,test_auc,test_ll,valid_acc,valid_auc,valid_ll,time
RandForest 6_1000_42,0.922486539402839,0.9224748131537254,0.25088958357970925,0.9176740088105727,0.9176624422977762,0.25865733311502437,0.9254194276046807,0.9254638508553511,0.2512627620621013,225.0
RandForest 8_10_42,0.9301419481155164,0.9301303257241562,0.2000328234555655,0.9170044052863436,0.9169926710335927,0.2223971875404579,0.9241505709854786,0.924195528859861,0.22722768273370988,3.0
RandForest 8_100_42,0.9319745472344592,0.9319634367393681,0.20710705468400192,0.9205991189427313,0.9205884581561949,0.22783314709424082,0.926829268292683,0.9268679693697752,0.223058729084602,29.0
RandForest 8_200_42,0.9317552618697993,0.9317439725018852,0.20576422391526486,0.9202819383259911,0.9202709533405388,0.22640570919960482,0.9273932045678839,0.9274336954414826,0.22145290963133554,55.0
RandForest 8_400_42,0.9318022515907979,0.9317909125468438,0.20439095349327743,0.9204229074889868,0.9204116765979183,0.224952304745966,0.9271112364302834,0.9271513690721997,0.21928699598472481,110.0
RandForest 8_600_42,0.9315868820362212,0.931575534276466,0.20443022887625206,0.9200352422907488,0.9200240672515432,0.22502126740737385,0.9272522204990836,0.9272921744791273,0.21976630689317891,165.0
RandForest 8_800_42,0.9315124816446403,0.9315011301513425,0.20441032361233238,0.9203171806167401,0.9203059161805172,0.2249320442579108,0.9265473001550825,0.92658635855592,0.2182943471381431,220.0
RandForest 8_1000_42,0.9315907978463045,0.9315794587810774,0.20390070584889805,0.9204933920704845,0.9204822506118883,0.22448965756353984,0.9262653320174821,0.9263051055197786,0.21826703785501742,274.0
XGBoost 0.03_Silent_3_100_42_0.7,0.9250905531081742,0.9250791189955416,0.16957001198523544,0.9202819383259911,0.9202703720755615,0.17928277977673746,0.9269702523614831,0.9270137836646963,0.16980847526214085,20.0
XGBoost 0.03_Silent_3_100_42_0.85,0.9246872246696035,0.9246753794080453,0.16966296038724932,0.9195418502202644,0.9195299373720273,0.1791747351514685,0.9299309178062879,0.9299749905427425,0.16865077855374197,19.0
XGBoost 0.03_Silent_3_100_42_1,0.9235907978463045,0.9235783910817714,0.17118953762863864,0.9200352422907488,0.9200225246637188,0.17995582221588421,0.9285210771182857,0.9285697986951766,0.169791638409188,18.0
XGBoost 0.03_Silent_3_200_42_0.7,0.9329887420460108,0.9329791829349099,0.15532494321187956,0.9218325991189428,0.9218227321067562,0.17635894232695065,0.9309178062878894,0.9309534728369594,0.16590736714215631,40.0
XGBoost 0.03_Silent_3_200_42_0.85,0.9325775819872736,0.9325677061199172,0.15580821927003172,0.921726872246696,0.921716792838593,0.17615792589648357,0.9307768222190892,0.9308151718740285,0.16467986034409068,38.0
XGBoost 0.03_Silent_3_200_42_1,0.9304708761625061,0.9304604287543837,0.15897747169268003,0.9207753303964757,0.9207646808058395,0.1769077594125847,0.930635838150289,0.9306768709110976,0.16516755509024342,35.0
XGBoost 0.03_Silent_3_400_42_0.7,0.943424375917768,0.9434160188890782,0.13615733235734284,0.9223612334801762,0.9223520483897033,0.17602494586397638,0.930635838150289,0.9306675686905383,0.1658658707830042,80.0
XGBoost 0.03_Silent_3_400_42_0.85,0.9432246696035242,0.943216167238499,0.13661010913231095,0.9229251101321586,0.9229160592364852,0.1751271462620731,0.9300719018750881,0.9301064937291107,0.16415733426390047,76.0
XGBoost 0.03_Silent_3_400_42_1,0.9400137053352913,0.9400046213822542,0.14150733780093305,0.9220088105726872,0.9219990218254367,0.1759378904017387,0.9307768222190892,0.9308148140963147,0.1649120336680932,69.0
XGBoost 0.03_Silent_3_800_42_0.7,0.9579911894273128,0.9579845056219152,0.11017365615602495,0.9236299559471366,0.9236219111579107,0.1786682476023192,0.9290850133934865,0.9291122692154857,0.16755240393124113,161.0
XGBoost 0.03_Silent_3_800_42_0.85,0.9580812530592266,0.9580743966222236,0.1103174548306535,0.9241233480176212,0.9241152362089965,0.17766350428199565,0.9304948540814888,0.9305253321727555,0.16706426018110263,153.0
XGBoost 0.03_Silent_3_800_42_1,0.9549955947136564,0.9549882063820152,0.11604348933662677,0.9228193832599119,0.9228106788769539,0.17785831511717745,0.929366981531087,0.9293985311396206,0.16640991789662915,137.0
XGBoost 0.03_Silent_3_1000_42_0.7,0.9636064610866373,0.9636005081534353,0.10036320541871808,0.9231013215859031,0.9230934220597392,0.17991748634491378,0.9288030452558861,0.9288285117353474,0.168446360747278,202.0
XGBoost 0.03_Silent_3_1000_42_0.85,0.9641311796377876,0.9641251249118012,0.10039975345988997,0.9239471365638766,0.9239391924101141,0.1793690230505304,0.9309178062878894,0.930946317282683,0.16902442282799005,192.0
XGBoost 0.03_Silent_3_1000_42_1,0.960798825256975,0.9607920088379833,0.10607624612162472,0.9230308370044052,0.9230224903442448,0.17963945118970825,0.9288030452558861,0.9288324472901996,0.16731431244501302,171.0
XGBoost 0.03_Silent_4_100_42_0.7,0.9309916789035731,0.9309813594758211,0.15915499887894977,0.9212334801762114,0.9212228865225299,0.17675930987305694,0.9296489496686874,0.9296887286186075,0.16646744780764555,26.0
XGBoost 0.03_Silent_4_100_42_0.85,0.9307019089574156,0.9306912491872558,0.15933642349472735,0.9219735682819383,0.9219624493285982,0.17656070552015693,0.9292259974622867,0.9292677435086799,0.1664641628387154,25.0
XGBoost 0.03_Silent_4_100_42_1,0.9287949094468918,0.9287835974248104,0.16218394777290113,0.921022026431718,0.921010583215643,0.17725222422817027,0.9295079655998872,0.9295489965448214,0.16678264673328613,23.0
XGBoost 0.03_Silent_4_200_42_0.7,0.9428761625061185,0.9428675893109387,0.13699320791330916,0.9232070484581498,0.923197796383733,0.17546087189236428,0.9314817425630904,0.9315152633538147,0.16409867620836122,53.0
XGBoost 0.03_Silent_4_200_42_0.85,0.942143906020558,0.9421349439997067,0.13809825505331755,0.9232422907488986,0.9232325580166038,0.17514280538885246,0.9309178062878894,0.9309541883923871,0.1637988767908632,50.0
XGBoost 0.03_Silent_4_200_42_1,0.9391874694077337,0.9391779519068799,0.14332533332657085,0.9232070484581498,0.923197080980684,0.1751057731488889,0.930635838150289,0.9306750820225285,0.16382711993108548,46.0
XGBoost 0.03_Silent_4_400_42_0.7,0.9599725893294175,0.9599659479520083,0.10721523925846038,0.92384140969163,0.9238331190038791,0.17735526390110412,0.929366981531087,0.9293960266956239,0.1657794519603993,106.0
XGBoost 0.03_Silent_4_400_42_0.85,0.9597063142437592,0.9596994418239937,0.10813687885351574,0.9237356828193832,0.923727202092061,0.1765306433802797,0.9303538700126885,0.9303845267658278,0.16426156420729981,101.0
XGBoost 0.03_Silent_4_400_42_1,0.9550269211943221,0.9550192993662263,0.11526537926322258,0.9239823788546255,0.9239736857668417,0.17628663244036005,0.9269702523614831,0.9270034081109957,0.1645857841337496,91.0
XGBoost 0.03_Silent_4_800_42_0.7,0.9815408712677435,0.9815372278104475,0.07034058845152671,0.9215154185022026,0.9215080889032959,0.18603711815636856,0.9257013957422812,0.9257254261172324,0.17471289530153442,214.0
XGBoost 0.03_Silent_4_800_42_0.85,0.9812197748409203,0.9812159698888269,0.07149275356231372,0.9227488986784141,0.9227410214731404,0.18403927692848304,0.9289440293246863,0.9289725371416997,0.17046084500474448,207.0
XGBoost 0.03_Silent_4_800_42_1,0.9768575624082232,0.9768529795132679,0.0790580150420545,0.9232422907488986,0.9232344135932622,0.1829483332433495,0.9271112364302834,0.9271406357407851,0.1688488216443973,183.0
XGBoost 0.03_Silent_4_1000_42_0.7,0.9880411160058737,0.9880386158601729,0.05812854567223124,0.921022026431718,0.9210148979902818,0.1908510473514869,0.9273932045678839,0.9274150910003639,0.1790688934173656,269.0
XGBoost 0.03_Silent_4_1000_42_0.85,0.9878414096916299,0.9878387145288265,0.05910869404578352,0.9215506607929516,0.9215428952488575,0.18855294816465099,0.9262653320174821,0.9262900788557983,0.17384357958297922,253.0
XGBoost 0.03_Silent_4_1000_42_1,0.9837258932941753,0.9837223817107333,0.06676783068639237,0.9226784140969163,0.9226706263099328,0.18721390017358863,0.9259833638798816,0.9260127613745089,0.1725647575094859,228.0
XGBoost 0.03_Silent_6_100_42_0.7,0.946337738619677,0.9463292030333196,0.13137673942367212,0.9234889867841409,0.9234795111746353,0.17482368249741642,0.9295079655998872,0.9295393365465482,0.16539704064100894,39.0
XGBoost 0.03_Silent_6_100_42_0.85,0.9456563876651982,0.9456476358989568,0.13261328339987705,0.9232775330396475,0.9232678338454162,0.17470523662506623,0.9323276469758918,0.9323626002393771,0.163553132911688,39.0
XGBoost 0.03_Silent_6_100_42_1,0.9429662261380323,0.942956839429349,0.13738440045886074,0.9225726872246696,0.9225626749706944,0.1754897686279521,0.9314817425630904,0.9315177677978115,0.16337129459732957,37.0
XGBoost 0.03_Silent_6_200_42_0.7,0.9700323054331865,0.9700266648932621,0.09174834133542914,0.9242290748898678,0.9242205047868015,0.17701391201887764,0.9280981249118849,0.92812734692242,0.16776138570264754,81.0
XGBoost 0.03_Silent_6_200_42_0.85,0.9691669114047968,0.9691610857169526,0.09350193097336235,0.9244052863436123,0.9243967721491367,0.1753530032549159,0.9320456788382913,0.9320749072043869,0.164219468377899,77.0
XGBoost 0.03_Silent_6_200_42_1,0.9641468428781204,0.9641401323675816,0.10178333617416012,0.92415859030837,0.9241496177839977,0.176015868455303,0.9303538700126885,0.9303859578766831,0.16349619654026037,71.0
XGBoost 0.03_Silent_6_400_42_0.7,0.9935232501223691,0.9935216994308457,0.04863686543522735,0.9234537444933921,0.9234464262676604,0.18756976250780974,0.9265473001550825,0.9265738363359366,0.17769182950457268,167.0
XGBoost 0.03_Silent_6_400_42_0.85,0.992779246206559,0.9927774172278893,0.050807031061657695,0.9233480176211454,0.9233403528614254,0.1855440486417791,0.9313407584942901,0.9313673023926107,0.17134724956516395,157.0
XGBoost 0.03_Silent_6_400_42_1,0.9876847772883015,0.9876818337059038,0.060353844355724294,0.9225022026431718,0.9224943589475975,0.18326510378150596,0.9303538700126885,0.9303838112104001,0.16753979817850093,141.0
